N„–  |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |Mag U |Mag B |Mag V |Mag R |Mag I |     spec. type      |#bib |#not
400 |* eta Leo                          |*  |10 07 19.9518606 +16 45 45.580270      | 3.17 | 3.39 | 3.41 | 3.32 | 3.35 |A0Ib                 | 318 |   0
401 |* 30 Psc                           |LP?|00 01 57.6152259896 -06 00 50.668429443| 7.88 | 6.04 | 4.41 | 2.85 | 1.44 |M3III                | 130 |   0
402 |* zet Pup                          |BY*|08 03 35.04754 -40 00 11.3321          | 0.89 | 1.98 | 2.25 | 2.36 | 2.58 |O4I(n)fp             |1095 |   1
403 |* ups Oph                          |SB*|16 27 48.1871985 -08 22 18.224465      |     ~| 4.80 | 4.63 |     ~|     ~|kA2hA5VmA5           | 130 |   0
404 |* 2 Aur                            |*  |04 52 37.9809748976 +36 42 11.478901229|     ~| 6.164| 4.779|     ~|     ~|K3-IIIBa0.4          | 132 |   0
405 |* iot Gru                          |SB*|23 10 21.5375522 -45 14 48.164650      |     ~| 4.877| 3.877|     ~|     ~|K1III                |  70 |   0
406 |* alf Aps                          |*  |14 47 51.7120247 -79 02 41.103245      |     ~| 5.247| 3.798|     ~|     ~|K3IIICN0.5           |  60 |   0
407 |* iot Eri                          |PM*|02 40 40.0350054 -39 51 19.354141      |     ~| 5.114| 4.116|     ~|     ~|K0IIIb               |  77 |   0
408 |* kap Lib                          |PM*|15 41 56.8000133371 -19 40 43.655033282| 8.24 | 6.30 | 4.72 | 3.44 | 2.50 |M0-IIIb              |  73 |   0
409 |* ups02 Eri                        |PM*|04 35 33.0383354 -30 33 44.429731      | 5.52 | 4.80 | 3.82 | 3.07 | 2.58 |G8+III               |  90 |   0
410 |* tau Lib                          |SB*|15 38 39.3694957 -29 46 39.895604      |     ~| 3.481| 3.642|     ~|     ~|B2.5V                | 145 |   0
411 |* kap Gem                          |** |07 44 26.8535692 +24 23 52.787227      | 5.19 | 4.49 | 3.57 | 2.86 | 2.41 |G8III-IIIb           | 285 |   0
412 |* zet CMa                          |Ce*|06 20 18.7920398 -30 03 48.120242      | 2.12 | 2.83 | 3.00 |     ~|     ~|B2.5V                | 148 |   0
413 |* ups Tau                          |dS*|04 26 18.4636760 +22 48 48.888498      |     ~| 4.572| 4.282|     ~|     ~|A8Vn                 | 163 |   0
414 |HD 161840                          |*  |17 49 10.4771628 -31 42 11.543842      |     ~| 4.753| 4.797|     ~|     ~|B8Ib/II              |  55 |   0
415 |* gam Hyi                          |PM*|03 47 14.3406211 -74 14 20.268608      | 6.87 | 4.88 | 3.26 | 1.92 | 0.82 |M1III                |  80 |   0
416 |* pi. Cas                          |SB*|00 43 28.0688272805 +47 01 28.376558640|     ~| 5.120| 4.949|     ~| 4.79 |A5V                  |  73 |   0
417 |* N Car                            |*  |06 34 58.5799290 -52 58 32.191880      | 4.22 | 4.37 | 4.40 |     ~|     ~|A0II                 |  50 |   0
418 |* bet Mon B                        |*  |06 28 49.4226039089 -07 02 03.840805418|     ~| 4.81 | 5.00 |     ~|     ~|B2Vn(e)              |  64 |   0
419 |* bet Ser                          |PM*|15 46 11.2543458 +15 25 18.595866      | 3.81 | 3.73 | 3.67 | 3.61 | 3.58 |A2IV                 | 166 |   0
420 |* gam Lup                          |El*|15 35 08.44835 -41 10 00.3247          | 1.76 | 2.586| 2.765|     ~|     ~|B2IV                 | 165 |   0
421 |* eps Leo                          |V* |09 45 51.0733004 +23 46 27.320834      | 4.23 | 3.79 | 2.98 | 2.36 | 1.93 |G1IIIa               | 322 |   0
422 |* del Dra                          |PM*|19 12 33.3019645 +67 39 41.545581      | 4.85 | 4.07 | 3.07 | 2.37 | 1.86 |G9III                | 261 |   0
423 |* tet Sco                          |*  |17 37 19.12985 -42 59 52.1808          |     ~| 2.29 | 1.85 |     ~|     ~|F1III                | 118 |   0
424 |M 31                               |G  |00 42 44.330 +41 16 07.50              | 4.86 | 4.36 | 3.44 |     ~|     ~|~                    |10986|   1
425 |* zet Her                          |SB*|16 41 17.16104 +31 36 09.7873          | 3.640| 3.430| 2.800| 2.31 | 1.99 |G0IV                 | 525 |   0
426 |* pi. Ser                          |*  |16 02 17.6918382424 +22 48 16.020768024|     ~| 4.887| 4.817|     ~|     ~|A3V                  |  79 |   0
427 |* eps Gem                          |V* |06 43 55.9262590 +25 07 52.051484      | 5.85 | 4.39 | 2.98 | 2.01 | 1.40 |G8Ib                 | 379 |   0
428 |* bet Cam                          |*  |05 03 25.0896309 +60 26 32.089527      | 5.57 | 4.95 | 4.02 | 3.33 | 2.86 |G1Ib                 | 166 |   0
429 |* 38 Lyn                           |PM*|09 18 50.64384 +36 48 09.3331          |     ~| 3.96 | 3.92 |     ~| 3.81 |A1V                  | 133 |   0
430 |V* T Aur                           |No*|05 31 59.1179548200 +30 26 45.033734428| 4.80 | 4.49 | 4.10 |     ~|     ~|~                    | 256 |   1
431 |IC 2395                            |OpC|08 42 31.0 -48 06 00                   |     ~|     ~| 4.6  |     ~|     ~|~                    |  81 |   1
432 |* iot Cap                          |BY*|21 22 14.7956478 -16 50 04.359799      | 5.74 | 5.18 | 4.27 | 3.65 | 3.17 |G7IIIFe-1.5          | 179 |   0
433 |* nu. For                          |a2*|02 04 29.4386071 -29 17 48.547752      | 4.01 | 4.52 | 4.69 | 4.73 | 4.87 |B9.5IIIspSi          | 137 |   0
434 |* 70 Peg                           |SB*|23 29 09.2960409844 +12 45 37.881197652| 6.24 | 5.50 | 4.56 | 3.82 | 3.37 |G8IIIa               | 141 |   0
435 |* I Car                            |V* |10 24 23.7059714 -74 01 53.803578      | 4.35 | 4.36 | 4.01 | 3.67 | 3.48 |F3V                  | 120 |   0
436 |* 33 Cyg                           |PM*|20 13 23.8666139 +56 34 03.799925      |     ~| 4.384| 4.271|     ~|     ~|A3IV-Vn              |  80 |   0
437 |NAME SMC                           |G  |00 52 38.0 -72 48 01                   |     ~| 2.79 | 2.2  |     ~|     ~|~                    |9501 |   1
438 |* bet Per                          |Al*|03 08 10.1324535 +40 57 20.328013      | 1.70 | 2.07 | 2.12 | 2.08 | 2.11 |B8V                  |1149 |   2
439 |* iot Hya                          |PM*|09 39 51.3614457 -01 08 34.113491      | 6.68 | 5.23 | 3.91 | 2.92 | 2.25 |K2.5III              | 165 |   0
440 |* b Per                            |SB*|04 18 14.6168986 +50 17 43.805740      |     ~| 4.639| 4.594|     ~| 4.44 |A1III                | 148 |   0
441 |* alf02 Cru                        |*  |12 26 36.442 -63 05 58.28              |     ~| 1.41 | 1.58 |     ~|     ~|B1V                  |  65 |   0
442 |* ksi01 Cet                        |EB*|02 12 59.9976927035 +08 50 48.202315944| 5.86 | 5.23 | 4.35 | 3.68 | 3.18 |G7IIIBa0.4Fe-1       | 204 |   1
443 |* 1 Peg                            |PM*|21 22 05.1992768 +19 48 16.236458      | 6.25 | 5.20 | 4.09 | 3.30 | 2.76 |K1III                | 170 |   0
444 |NGC 104                            |GlC|00 24 05.359 -72 04 53.20              |     ~| 5.78 | 4.09 |     ~|     ~|~                    |3565 |   0
445 |* p Vel                            |SB*|10 37 18.13995 -48 13 32.2349          | 4.19 | 4.13 | 3.84 | 3.57 | 3.41 |A3/5                 | 116 |   0
446 |* eps Cyg                          |** |20 46 12.6823609 +33 58 12.924926      | 4.370| 3.520| 2.480| 1.73 | 1.19 |K0III                | 480 |   0
447 |* 109 Vir                          |PM*|14 46 14.9253599 +01 53 34.384496      | 3.69 | 3.72 | 3.73 | 3.66 | 3.68 |A0IIInn              | 318 |   0
448 |* psi Per                          |Be*|03 36 29.3798227 +48 11 33.478941      | 3.60 | 4.17 | 4.23 |     ~|     ~|B5Ve                 | 396 |   0
449 |* phi UMa                          |** |09 52 06.35437 +54 03 51.5962          |     ~| 4.602| 4.557|     ~|     ~|A3IV                 | 148 |   0
450 |* g Sgr                            |PM*|19 57 57.0213689115 -15 29 29.327142553|     ~| 5.058| 4.998|     ~|     ~|A2V                  |  70 |   0
451 |* 20 Pup                           |*  |08 13 19.9670987474 -15 47 17.600779667| 6.84 | 6.06 | 4.99 |     ~|     ~|G4Ib-II              |  76 |   0
452 |* alf Cir                          |a2*|14 42 30.4195804 -64 58 30.493451      | 3.55 | 3.43 | 3.19 | 2.96 | 2.86 |A7VpSrCrEu           | 329 |   0
453 |* eta Oph                          |** |17 10 22.68689 -15 43 29.6639          | 2.56 | 2.47 | 2.42 | 2.39 | 2.38 |A2IV-V               | 252 |   0
454 |* gam Hya                          |SB*|13 18 55.2971856 -23 10 17.451401      | 4.58 | 3.92 | 3.00 | 2.40 | 1.93 |G8IIIa               | 162 |   0
455 |* ksi And                          |*  |01 22 20.4190863879 +45 31 43.613235116|     ~| 5.951| 4.868|     ~|     ~|K0-IIIb              | 121 |   0
456 |HD 37756                           |SB*|05 40 50.7149778 -01 07 43.636548      | 3.91 | 4.74 | 4.95 |     ~|     ~|B3V                  | 130 |   0
457 |* x Vel                            |*  |10 39 18.3931430 -55 36 11.762343      |     ~| 5.280| 4.267|     ~|     ~|G5IIa                |  63 |   0
458 |* g Vel                            |*  |08 49 47.6374648416 -45 18 28.334579536|     ~| 4.972| 4.935|     ~|     ~|A2III                |  27 |   0
459 |* G CMi                            |PM*|08 02 15.9365899 +02 20 04.452198      | 6.91 | 5.63 | 4.38 | 3.39 | 2.72 |K2IIIbFe-0.5:        | 169 |   1
460 |* tau03 Eri                        |PM*|03 02 23.4993908 -23 37 28.093588      | 4.33 | 4.25 | 4.09 | 3.96 | 3.87 |A3IV-V               | 148 |   0
461 |* 15 CMa                           |bC*|06 53 32.9071871 -20 13 27.317715      | 3.66 | 4.62 | 4.83 | 4.95 | 5.17 |B1Ib                 | 196 |   0
462 |* rho UMa                          |V* |09 02 32.6940953724 +67 37 46.633099587| 8.17 | 6.29 | 4.76 | 3.29 | 2.03 |M3IIICa1             |  85 |   0
463 |* gam Vir B                        |Pe*|12 41 39.5425844770 -01 26 57.847656959|     ~| 3.85 | 3.49 |     ~|     ~|F0mF2V               | 213 |   0
464 |* bet And                          |PM*|01 09 43.92388 +35 37 14.0075          | 5.58 | 3.62 | 2.05 | 0.81 |-0.19 |M0+IIIa              | 535 |   0
465 |* eps Peg                          |LP*|21 44 11.1561394 +09 52 30.031152      | 5.61 | 3.91 | 2.39 | 1.34 | 0.58 |K2Ib-II              | 431 |   0
466 |* tet CrA                          |*  |18 33 30.1846988547 -42 18 45.049280630|     ~| 5.618| 4.614|     ~|     ~|G8III                |  34 |   0
467 |* 2 Cet                            |*  |00 03 44.3878420 -17 20 09.571938      | 4.4  | 4.483| 4.536|     ~| 4.58 |B9IVn                | 104 |   0
468 |* 104 Her                          |V* |18 11 54.1564925292 +31 24 19.246928288| 8.56 | 6.62 | 4.97 |     ~|     ~|M3III                | 111 |   0
469 |* kap Lup                          |Be*|15 11 56.0760514972 -48 44 16.127509644| 3.55 | 3.67 | 3.70 | 3.75 | 3.76 |B9.5Vne              |  88 |   0
470 |* kap Peg                          |SB*|21 44 38.73522 +25 38 42.1359          |     ~| 4.553| 4.135|     ~|     ~|F5V                  | 237 |   1
471 |* del Col                          |SB*|06 22 06.8169226859 -33 26 10.960575837| 5.25 | 4.73 | 3.85 | 3.18 | 2.71 |G7II                 |  75 |   0
472 |* chi Vir                          |** |12 39 14.7669232892 -07 59 44.041075962|     ~| 5.886| 4.643| 6.45 |     ~|K2+IIICN0.5          | 132 |   1
473 |* nu. Cap                          |*  |20 20 39.8156206 -12 45 32.684421      | 4.61 | 4.72 | 4.76 | 4.75 | 4.81 |B9IV                 | 257 |   0
474 |* tau08 Eri                        |SB*|03 53 42.7017788445 -24 36 44.024190393|     ~| 4.496| 4.623|     ~|     ~|B6V                  | 107 |   0
475 |* alf Sco                          |** |16 29 24.45970 -26 25 55.2094          | 4.08 | 2.75 | 0.91 |-0.64 |-1.87 |M0.5Iab+B3V:         | 703 |   0
476 |* alf Lyn                          |PM*|09 21 03.3007431 +34 23 33.224546      | 6.63 | 4.69 | 3.14 | 1.91 | 1.01 |K6III                | 196 |   0
477 |* iot Dra                          |V* |15 24 55.7746265 +58 57 57.834445      | 5.68 | 4.45 | 3.29 | 2.51 | 1.91 |K2III                | 369 |   1
478 |* ome Her                          |a2*|16 25 24.9552430446 +14 01 59.755120883| 4.53 | 4.57 | 4.58 | 4.51 | 4.55 |A2VpCrSr             | 222 |   0
479 |* alf Pav                          |SB*|20 25 38.85705 -56 44 06.3230          | 1.03 | 1.791| 1.918|     ~|     ~|B2IV                 | 273 |   0
480 |* zet Cyg                          |SB*|21 12 56.1859347 +30 13 36.895667      | 4.96 | 4.20 | 3.21 | 2.52 | 2.04 |G8+III-IIIaBa0.5     | 322 |   0
481 |* f Pup                            |** |07 37 22.10978 -34 58 06.7109          | 4.13 | 4.44 | 4.53 | 4.55 | 4.62 |B8IV/V               |  58 |   0
482 |V* T Cyg                           |LP?|20 47 10.7523904479 +34 22 26.837368218|     ~| 6.224| 4.930| 5.33 |     ~|K3III                |  69 |   1
483 |* psi02 Lup                        |SB*|15 42 41.0220569 -34 42 37.461720      | 4.08 | 4.576| 4.721|     ~|     ~|B5V                  | 103 |   0
484 |* 17 Tau                           |Be*|03 44 52.5368818 +24 06 48.011217      | 3.19 | 3.59 | 3.70 | 3.71 | 3.80 |B6IIIe               | 375 |   1
485 |IDS 15505-3340 AB                  |** |15 56 53.7 -33 57 50                   |     ~| 4.68 | 4.58 |     ~|     ~|~                    |   0 |   0
486 |* l Vel                            |PM*|09 15 36.7081276027 -38 34 11.790333304| 7.11 | 6.05 | 4.94 | 4.15 | 3.58 |K1III                |  35 |   0
487 |* 110 Vir                          |PM*|15 02 54.0379635 +02 05 28.694429      | 6.31 | 5.44 | 4.40 | 3.59 | 3.05 |K0+IIIbFe-0.5        | 117 |   0
488 |* eta Crv                          |PM*|12 32 04.2265302 -16 11 45.616473      |     ~| 4.69 | 4.31 |     ~|     ~|F2V                  | 277 |   0
489 |* gam Boo                          |dS*|14 32 04.6717964 +38 18 29.704270      | 3.33 | 3.21 | 3.02 | 2.88 | 2.80 |A7IV+(n)             | 230 |   0
490 |[SC96] Mis 162                     |*  |16 52 00.0 -38 02 00                   |     ~|     ~| 2.51 |     ~|     ~|~                    |   1 |   0
491 |V* AW CVn                          |LP?|13 51 47.4753428 +34 26 39.261252      | 8.36 | 6.40 | 4.74 | 3.21 | 1.93 |M3-IIIa              | 107 |   0
492 |* alf Gem B                        |SB*|07 34 36.100452 +31 53 18.57117        |     ~|     ~| 3.0  |     ~|     ~|kA0hA2:mA1IVs        | 285 |   1
493 |* pi. Per                          |*  |02 58 45.6685779114 +39 39 45.821190649| 4.88 | 4.76 | 4.70 | 4.60 | 4.56 |A2Vn                 |  76 |   0
494 |* u Car                            |PM*|10 53 29.6552368 -58 51 11.416313      | 5.39 | 4.74 | 3.79 | 3.07 | 2.57 |K0IV                 |  87 |   0
495 |V* RR UMi                          |LP*|14 57 35.0072853 +65 55 56.856956      | 7.86 | 6.19 | 4.54 | 2.69 | 0.97 |M4.5III              | 165 |   0
496 |* lam Vel                          |LP*|09 07 59.75787 -43 25 57.3273          | 5.67 | 3.86 | 2.21 | 0.97 | 0.03 |K4Ib                 | 202 |   0
497 |* del Cru                          |Pu*|12 15 08.7167245 -58 44 56.136936      | 1.63 | 2.568| 2.752|     ~|     ~|B2IV                 | 193 |   1
498 |* zet Gru                          |PM*|23 00 52.7977690769 -52 45 14.870548852|     ~| 5.086| 4.115|     ~|     ~|K1IIIFe-1.2CN-0.5    |  49 |   0
499 |* 61 Vir                           |PM*|13 18 24.3142756 -18 18 40.304648      | 5.710| 5.440| 4.740|     ~|     ~|G6.5V                | 595 |   1
500 |* bet02 Sgr                        |PM*|19 23 13.1374490 -44 47 59.205109      |     ~| 4.601| 4.270|     ~|     ~|F2/3V                |  42 |   0
501 |* tet Ind A                        |** |21 19 51.9907588936 -53 26 57.924640046|     ~| 4.641| 4.483| 5.82 |     ~|A5IV-V               |   8 |   0
502 |* pi. Cep                          |SB*|23 07 53.85377 +75 23 14.9951          | 5.67 | 5.21 | 4.41 |     ~|     ~|G2III                | 170 |   0
503 |* gam Cen B                        |PM*|12 41 31.015370 -48 57 34.47666        |     ~| 2.91 | 2.88 |     ~|     ~|A0IV                 |   1 |   0
504 |* phi Tau                          |PM*|04 20 21.2169453021 +27 21 02.718203359|     ~| 6.098| 4.951|     ~|     ~|K0III                |  77 |   0
505 |* 10 Tau                           |PM*|03 36 52.1448022536 +00 23 58.536917738| 5.23 | 5.15 | 4.30 | 4.09 | 3.77 |F9IV-V               | 524 |   0
506 |* tau Boo                          |Ro*|13 47 15.74340 +17 27 24.8552          | 5.02 | 4.98 | 4.49 | 4.09 | 3.85 |F7IV-V               | 884 |   1
507 |* 93 Leo                           |RS*|11 47 59.13595 +20 13 08.1500          |     ~| 5.065| 4.522|     ~|     ~|F8III+A6III          | 212 |   0
508 |* 9 Peg                            |V* |21 44 30.6958139 +17 21 00.057062      | 6.48 | 5.52 | 4.35 | 3.53 | 2.98 |G5Ib                 | 259 |   0
509 |* P Cyg                            |s*b|20 17 47.2020844 +38 01 58.552724      | 4.66 | 5.24 | 4.82 | 4.28 | 4.02 |B1-2Ia-0ep           |1131 |   1
510 |* alf Peg                          |PM*|23 04 45.65345 +15 12 18.9617          | 2.38 | 2.44 | 2.48 | 2.47 | 2.50 |B9III                | 340 |   0
511 |* tet Aqr                          |PM*|22 16 50.0363539 -07 46 59.848035      | 5.95 | 5.15 | 4.16 | 3.46 | 2.98 |G9II                 | 134 |   0
512 |* gam Tri                          |PM*|02 17 18.8670335 +33 50 49.895049      |     ~| 4.03 | 4.00 |     ~| 4.05 |A1Vnn                | 184 |   0
513 |* alf Gem A                        |SB*|07 34 35.862828 +31 53 17.79429        |     ~|     ~| 1.9  |     ~|     ~|A1.5IV+              | 380 |   0
514 |* rho Ser                          |PM*|15 51 15.9098483 +20 58 40.516634      | 8.20 | 6.32 | 4.78 | 3.56 | 2.71 |K4.5III              |  79 |   0
515 |* sig Lib                          |LP*|15 04 04.2160765 -25 16 55.060636      | 6.86 | 4.91 | 3.21 | 1.60 | 0.33 |M2.5III              | 174 |   0
516 |* lam Cyg                          |** |20 47 24.53766 +36 29 26.5737          | 3.93 | 4.43 | 4.54 | 4.58 | 4.69 |B5V                  | 294 |   0
517 |HD 125628A                         |*  |14 22 37.077 -58 27 32.80              |     ~| 5.79 | 4.93 |     ~|     ~|~                    |   1 |   0
518 |HD 20336                           |Be*|03 19 59.2722182726 +65 39 08.251851271| 3.93 | 4.70 | 4.85 | 4.88 | 5.01 |B2.5Vn(e)            | 207 |   0
519 |* eta Lyr                          |SB*|19 13 45.4883231 +39 08 45.480091      | 3.58 | 4.243| 4.398|     ~|     ~|B2.5IV               | 141 |   0
520 |* rho Cap A                        |*  |20 28 51.6137536636 -17 48 49.271030908|     ~| 5.26 | 4.93 |     ~|     ~|~                    |   4 |   0
521 |* chi Dra                          |SB*|18 21 03.38255 +72 43 58.2518          | 4.010| 4.070| 3.580| 3.14 | 2.83 |F7V                  | 383 |   1
522 |* chi Leo                          |PM*|11 05 01.02754 +07 20 09.6235          |     ~| 4.94 | 4.62 | 4.4  |     ~|F2III                | 101 |   0
523 |* chi02 Ori                        |s*b|06 03 55.1848402263 +20 08 18.441609669| 4.24 | 4.91 | 4.63 | 4.32 | 4.10 |B2Ia                 | 428 |   0
524 |* nu. Aur                          |*  |05 51 29.3717403689 +39 08 54.596979607| 6.160| 5.090| 3.950| 3.15 | 2.59 |K0.5IIICN0.5         | 188 |   0
525 |* alf Per                          |V* |03 24 19.3700924 +49 51 40.245455      | 2.64 | 2.27 | 1.79 |     ~|     ~|F5Ib                 | 801 |   1
526 |* 9 Cep                            |Pu*|21 37 55.2235288899 +62 04 54.993364177| 4.49 | 5.03 | 4.73 | 4.42 | 4.24 |B2Ib                 | 286 |   0
527 |* alf Lup                          |bC*|14 41 55.7557866 -47 23 17.515486      | 1.22 | 2.126| 2.286|     ~|     ~|B1.5III              | 223 |   0
528 |* mu.01 Cyg                        |PM*|21 44 08.588952 +28 44 33.38203        | 5.01 | 5.14 | 4.70 | 4.13 | 3.85 |F7V                  | 150 |   0
529 |* kap Nor                          |*  |16 13 28.7287396558 -54 37 49.686001090| 6.79 | 5.98 | 4.94 |     ~|     ~|G8III                |  24 |   0
530 |* 1 Cas                            |*  |23 06 36.8178557 +59 25 11.135698      | 3.93 | 4.771| 4.840|     ~|     ~|B0.5III              | 229 |   0
531 |* lam Pav                          |Be*|18 52 13.0342656 -62 11 15.332363      | 3.19 | 4.048| 4.207|     ~|     ~|B2Ve                 | 141 |   0
532 |* gam Psc                          |PM*|23 17 09.9374911 +03 16 56.237975      | 5.20 | 4.62 | 3.70 | 2.98 | 2.47 |G9III:Fe-2           | 250 |   0
533 |* 110 Her                          |PM*|18 45 39.7257041 +20 32 46.717099      | 4.66 | 4.65 | 4.19 | 3.80 | 3.54 |F5.5IV-V             | 379 |   0
534 |V* U Hya                           |C* |10 37 33.2729535 -13 23 04.352923      |13.29 | 7.51 | 4.82 | 3.05 | 1.78 |C-N5                 | 285 |   0
535 |* chi Her                          |PM*|15 52 40.5411372117 +42 27 05.451105113| 5.19 | 5.19 | 4.62 | 4.14 | 3.82 |F8VFe-2Hdel-1        | 476 |   0
536 |* eta Ori                          |Al*|05 24 28.61672 -02 23 49.7311          | 2.25 | 3.18 | 3.35 | 3.44 | 3.65 |B1V+B2:              | 379 |   0
537 |* tau Cyg                          |dS*|21 14 47.49252 +38 02 43.1441          | 4.140| 4.120| 3.730| 3.38 | 3.14 |F2IV                 | 250 |   0
538 |* e02 Car                          |** |08 35 19.7088597577 -58 00 33.271447253|     ~| 5.845| 4.847|     ~|     ~|K0III                |  17 |   0
539 |* sig Oph                          |V* |17 26 30.8805999537 +04 08 25.287576783| 7.39 | 5.82 | 4.31 | 3.22 | 2.46 |K2II                 | 166 |   0
540 |* gam Mus                          |Pu*|12 32 28.0134336 -72 07 58.759701      | 3.12 | 3.73 | 3.88 | 3.91 | 4.08 |B3V                  | 135 |   0
541 |* 31 Leo                           |PM*|10 07 54.2705662 +09 59 51.023021      | 7.57 | 5.82 | 4.38 | 3.26 | 2.49 |K3.5IIIbFe-1:        | 127 |   0
542 |* D01 Car                          |*  |08 00 19.9667811 -63 34 02.842048      | 4.03 | 4.639| 4.806|     ~|     ~|B4V                  |  64 |   0
543 |* ups01 Pup                        |Be*|07 18 18.3933493 -36 44 02.232922      | 3.78 | 4.57 | 4.67 | 4.57 | 4.62 |B2V+B3IVne           | 140 |   0
544 |* eta Ori B                        |*  |05 24 28.617264 -02 23 49.69284        |     ~| 3.42 | 3.59 |     ~|     ~|B2:                  |   6 |   0
545 |* alf Boo                          |RG*|14 15 39.67207 +19 10 56.6730          | 2.46 | 1.18 |-0.05 |-1.03 |-1.68 |K1.5IIIFe-0.5        |2137 |   0
546 |* c Vir                            |PM*|12 20 20.9813348 +03 18 45.260365      | 7.27 | 6.12 | 4.96 | 4.07 | 3.46 |K0.5IIIbFe-0.5       | 335 |   0
547 |* 3 Cet                            |V* |00 04 30.1182732 -10 30 34.284891      |     ~| 6.541| 4.924|     ~|     ~|K3Ib                 | 104 |   0
548 |* 119 Tau                          |s*r|05 32 12.7525072 +18 35 39.243589      | 8.63 | 6.41 | 4.33 | 2.55 | 1.13 |M2Iab-Ib             | 259 |   0
549 |* eps Tau                          |** |04 28 36.9988174 +19 10 49.544603      | 5.42 | 4.54 | 3.53 |     ~|     ~|G9.5IIICN0.5         | 544 |   1
550 |* eta Her                          |PM*|16 42 53.7650947 +38 55 20.112868      | 5.03 | 4.42 | 3.50 | 2.83 | 2.35 |G7IIIFe-1            | 272 |   0
551 |* f01 Ori                          |Be*|06 12 03.2795497 +16 07 49.461443      | 4.21 | 4.80 | 4.92 | 4.94 | 5.08 |B5Vn                 | 114 |   0
552 |* del Del                          |dS*|20 43 27.5333833 +15 04 28.477302      |     ~| 4.701| 4.417|     ~|     ~|kA7hF1VmF1pSrEuCr:   | 207 |   0
553 |* ksi UMa A                        |SB*|11 18 10.901164 +31 31 44.97910        |     ~| 4.79 | 4.25 |     ~|     ~|F8.5:V               | 302 |   1
554 |V* AR Cas                          |Al*|23 30 01.9402842213 +58 32 56.100198639| 4.18 | 4.760| 4.886|     ~|     ~|B3V                  | 197 |   1
555 |* Q Vel                            |*  |10 08 56.2395143 -51 48 40.538708      | 3.99 | 4.711| 4.845|     ~|     ~|B3III/IV             |  40 |   0
556 |* a Hya                            |PM*|08 40 01.4718190176 -12 28 31.343313250|     ~| 6.397| 4.969|     ~|     ~|K3III                |  62 |   0
557 |* c Car                            |PM*|08 55 02.8282209 -60 38 40.599812      | 3.28 | 3.74 | 3.80 |     ~|     ~|B8/9II               |  65 |   0
558 |* del Oct                          |PM*|14 26 55.2324425 -83 40 04.386830      |     ~| 5.615| 4.304|     ~|     ~|K2III                |  37 |   0
559 |* nu. And                          |SB*|00 49 48.8473652 +41 04 44.076380      | 3.80 | 4.38 | 4.53 | 4.56 | 4.71 |B5V                  | 197 |   0
560 |* gam Per                          |Al*|03 04 47.7907410 +53 30 23.168725      | 4.08 | 3.63 | 2.93 | 2.34 | 1.89 |G9III+A2-III:        | 195 |   0
561 |* mu. PsA                          |PM*|22 08 23.0147774399 -32 59 18.378259174| 4.60 | 4.55 | 4.50 | 4.43 | 4.38 |A1.5IVn              | 116 |   0
562 |* eps01 Ara                        |*  |16 59 35.0487987 -53 09 37.571300      |     ~| 5.489| 4.050|     ~|     ~|K3III                |  47 |   0
563 |* mu. UMa                          |SB*|10 22 19.7397659 +41 29 58.269105      | 6.53 | 4.64 | 3.05 | 1.76 | 0.80 |M0III                | 292 |   0
564 |* eta Aqr                          |PM*|22 35 21.38126 -00 07 02.9888          | 3.690| 3.950| 4.030| 4.06 | 4.13 |B8/9V                | 148 |   0
565 |* omi Cep A                        |PM*|23 18 37.4898952822 +68 06 41.182273825|     ~| 5.77 | 4.87 |     ~|     ~|~                    |   0 |   0
566 |* del CrB                          |RS*|15 49 35.6468905541 +26 04 06.203245322| 5.80 | 5.43 | 4.63 | 4.00 | 3.58 |G5III-IVFe-1         | 193 |   0
567 |* tau Tau                          |SB*|04 42 14.6926362488 +22 57 24.894510556|     ~| 4.138| 4.258|     ~|     ~|B3V                  | 182 |   0
568 |* bet Vir                          |PM*|11 50 41.7182390 +01 45 52.991019      | 4.26 | 4.15 | 3.60 | 3.13 | 2.85 |F9V                  | 857 |   0
569 |* 70 Vir                           |PM*|13 28 25.8081883620 +13 46 43.642951116| 5.930| 5.680| 4.970| 4.37 | 3.98 |G4Va                 | 671 |   1
570 |* ups Aur                          |PM*|05 51 02.4380435197 +37 18 20.058136105| 8.29 | 6.36 | 4.74 | 3.38 | 2.31 |M0III                |  68 |   0
571 |* i Cen                            |SB*|13 45 41.2448252 -33 02 37.399704      | 4.61 | 4.61 | 4.23 | 3.90 | 3.69 |F2V                  | 152 |   0
572 |* zet Cep                          |EB*|22 10 51.2769159 +58 12 04.545587      | 6.62 | 4.90 | 3.35 | 2.27 | 1.49 |K1.5Ib               | 260 |   0
573 |* eps CMa                          |*  |06 58 37.54876 -28 58 19.5102          | 0.36 | 1.29 | 1.50 | 1.59 | 1.80 |B1.5II               | 462 |   1
574 |V* V415 Car                        |Al*|06 49 51.3141446 -53 37 20.818154      |     ~| 5.323| 4.408|     ~|     ~|G4II                 |  68 |   0
575 |* kap Pav                          |WV*|18 56 57.0309200480 -67 14 00.566631622|     ~| 5.08 | 4.40 |     ~|     ~|G5Iab/b              | 117 |   0
576 |* omi Per                          |** |03 44 19.13204 +32 17 17.6929          | 3.13 | 3.88 | 3.83 | 3.71 | 3.71 |B1III                | 573 |   0
